ds,y,yhat,yhat_lower,yhat_upper,anomaly
2024-03-20,75.06416666666667,56.131355314965795,37.17244234679919,75.18578049868778,False
2024-03-21,75.11020833333333,56.817322962709525,38.277195948773574,76.17016882348368,False
2024-03-22,73.80020833333333,57.77512691015412,39.54219326767524,78.33821633393808,False
2024-03-23,71.9578125,58.321563347037305,38.95815903154716,78.43296540650087,False
2024-03-24,67.49614583333333,58.54516612094127,38.46164362711958,78.8144144267767,False
2024-03-25,66.161875,59.18049775197296,39.3888033132294,78.53381541065619,False
2024-03-26,60.036875,59.983620592384156,40.6148903954243,78.20127777107558,False
2024-03-27,61.68604166666666,60.9344497132215,41.65525785423939,80.56171380261084,False
2024-03-28,65.59114583333333,62.26394883810218,42.61738548118048,82.3049138760904,False
2024-03-29,62.43958333333333,63.82724709832564,44.48468349075452,83.2018268714876,False
2024-03-30,54.740625,64.93334828195309,44.350926796344375,84.85917966046948,False
2024-03-31,52.21145833333333,65.66372170544408,45.76200661469202,83.94427673511002,False
2024-04-01,56.6090625,66.74672343058344,48.05531649291627,86.58681227248817,False
2024-04-02,62.32260416666667,67.93318145503324,48.259810039289604,87.60815146138047,False
2024-04-03,64.6503125,69.1988442306752,50.03288704661266,87.98625352827344,False
2024-04-04,58.481875,70.77165201828674,50.52402550183351,90.61993935139402,False
2024-04-05,57.53916666666667,72.50490749131367,51.56803895560409,93.10939400976841,False
2024-04-06,59.828125,73.7070163722589,55.83134662985399,94.40393647807156,False
2024-04-07,59.53072916666667,74.46008682385596,56.64321002007091,93.46468389498266,False
2024-04-08,60.797604166666666,75.49433639254,56.76972157616953,94.23893852587626,False
2024-04-09,63.78145833333334,76.56364067568752,56.73130536412266,95.13604311407566,False
2024-04-10,64.96354166666667,77.64792405435713,56.982918574755786,97.37233597166389,False
2024-04-11,63.796875,78.98035339876286,57.88310388061217,99.79482174645598,False
2024-04-12,65.46739583333333,80.42041292516475,60.54231026621307,99.50167039262779,False
2024-04-13,67.47822916666667,81.28353308090018,62.33400710959368,100.87632429866872,False
